Rule_ID,Name,Category,Severity,Confidence,Priority,Enabled,Regex
TAU-001,Classic OR 1=1 Tautology,Tautology-Based Injection,HIGH,0.95,10,True,"(?i)\bOR\s+['\""]*\d+\s*=\s*\d+['\""]*"
TAU-002,String Equality Tautology,Tautology-Based Injection,HIGH,0.92,9,True,"(?i)\bOR\s+['\""]\w+['\""]\s*=\s*['\""]\w+['\""]"
TAU-003,TRUE/FALSE Keyword Tautology,Tautology-Based Injection,MEDIUM,0.85,7,True,(?i)\bOR\s+(TRUE|FALSE|1|0)\b
TAU-004,IS NOT NULL Tautology,Tautology-Based Injection,MEDIUM,0.88,6,True,(?i)\bOR\s+\w+\s+IS\s+NOT\s+NULL
TAU-005,Parenthesized Tautology,Tautology-Based Injection,HIGH,0.9,8,True,"(?i)\)\s*OR\s*\(\s*['\""]*\d+\s*=\s*\d+['\""]*\s*\)"
TAU-006,AND 1=1 Probe,Tautology-Based Injection,MEDIUM,0.75,5,True,"(?i)\bAND\s+['\""]*\d+\s*=\s*\d+['\""]*"
TAU-007,Double Quote Tautology,Tautology-Based Injection,HIGH,0.91,8,True,"(?i)\bOR\s+""[^""]*""\s*=\s*""[^""]*"""
TAU-008,LIKE Wildcard Tautology,Tautology-Based Injection,MEDIUM,0.82,6,True,"(?i)\bOR\s+\w+\s+LIKE\s+['\""]*%['\""]*"
TAU-009,Arithmetic Tautology,Tautology-Based Injection,LOW,0.7,4,True,(?i)\bOR\s+\d+\s*[+\-*/]\s*\d+\s*=\s*\d+
TAU-010,EXISTS Subquery Tautology,Tautology-Based Injection,HIGH,0.93,9,True,(?i)\bOR\s+EXISTS\s*\(\s*SELECT
UNI-001,UNION SELECT Pattern,UNION-Based Injection,CRITICAL,0.98,15,True,(?i)\bUNION\s+(ALL\s+)?SELECT\b
UNI-002,UNION with NULL Columns,UNION-Based Injection,CRITICAL,0.97,14,True,"(?i)\bUNION\s+(ALL\s+)?SELECT\s+(NULL\s*,\s*)+NULL"
UNI-003,UNION from information_schema,UNION-Based Injection,CRITICAL,0.99,16,True,(?i)\bUNION\s+(ALL\s+)?SELECT.*FROM\s+information_schema
UNI-004,UNION with CONCAT,UNION-Based Injection,CRITICAL,0.96,14,True,(?i)\bUNION\s+(ALL\s+)?SELECT.*CONCAT\s*\(
UNI-005,UNION with Numeric Sequence,UNION-Based Injection,CRITICAL,0.94,13,True,"(?i)\bUNION\s+(ALL\s+)?SELECT\s+\d+(\s*,\s*\d+)+"
UNI-006,UNION with System Functions,UNION-Based Injection,CRITICAL,0.98,15,True,(?i)\bUNION\s+(ALL\s+)?SELECT.*(@@version|version\(\)|user\(\)|database\(\))
UNI-007,UNION INTO OUTFILE,UNION-Based Injection,CRITICAL,0.99,18,True,(?i)\bUNION\s+(ALL\s+)?SELECT.*INTO\s+(OUT|DUMP)FILE
UNI-008,UNION with GROUP_CONCAT,UNION-Based Injection,CRITICAL,0.95,14,True,(?i)\bUNION\s+(ALL\s+)?SELECT.*GROUP_CONCAT\s*\(
UNI-009,UNION with LOAD_FILE,UNION-Based Injection,CRITICAL,0.99,17,True,(?i)\bUNION\s+(ALL\s+)?SELECT.*LOAD_FILE\s*\(
UNI-010,UNION with CHAR Function,UNION-Based Injection,CRITICAL,0.93,13,True,(?i)\bUNION\s+(ALL\s+)?SELECT.*CHAR\s*\(\s*\d+
CMT-001,SQL Double Dash Comment,Comment-Based Injection,HIGH,0.85,10,True,--[\s\w]*$
CMT-002,SQL Hash Comment,Comment-Based Injection,HIGH,0.8,9,True,#[^#]*$
CMT-003,SQL Block Comment Start,Comment-Based Injection,HIGH,0.88,11,True,/\*.*?\*/
CMT-004,Comment After Quote,Comment-Based Injection,HIGH,0.92,12,True,"['\""]\s*(--|#|/\*)"
CMT-005,Inline SQL Comment,Comment-Based Injection,CRITICAL,0.96,14,True,/\*!\d+.*?\*/
CMT-006,Comment with SQL Keywords,Comment-Based Injection,MEDIUM,0.78,7,True,(?i)(--|#|/\*)\s*(SELECT|DROP|DELETE|UPDATE|INSERT|EXEC)
CMT-007,Nested Comment Blocks,Comment-Based Injection,MEDIUM,0.85,8,True,/\*\s*/\*
CMT-008,Comment Whitespace Obfuscation,Comment-Based Injection,LOW,0.7,5,False,"\s{10,}(--|#|/\*)"
STK-001,Semicolon with DROP,Stacked Queries Injection,CRITICAL,0.99,20,True,(?i);\s*DROP\s+(TABLE|DATABASE|VIEW|INDEX)
STK-002,Semicolon with DELETE,Stacked Queries Injection,CRITICAL,0.98,19,True,(?i);\s*DELETE\s+FROM
STK-003,Semicolon with UPDATE,Stacked Queries Injection,CRITICAL,0.97,18,True,(?i);\s*UPDATE\s+\w+\s+SET
STK-004,Semicolon with INSERT,Stacked Queries Injection,HIGH,0.95,16,True,(?i);\s*INSERT\s+INTO
STK-005,Semicolon with EXEC,Stacked Queries Injection,CRITICAL,0.98,19,True,(?i);\s*(EXEC|EXECUTE)\s+
STK-006,Semicolon with CREATE,Stacked Queries Injection,HIGH,0.96,15,True,(?i);\s*CREATE\s+(TABLE|DATABASE|USER|PROCEDURE)
STK-007,Semicolon with GRANT,Stacked Queries Injection,CRITICAL,0.99,20,True,(?i);\s*GRANT\s+(ALL|SELECT|INSERT|UPDATE|DELETE)
STK-008,Multiple Semicolons,Stacked Queries Injection,MEDIUM,0.75,7,True,;\s*;
TMB-001,MySQL SLEEP Function,Time-Based Blind Injection,CRITICAL,0.97,17,True,(?i)\bSLEEP\s*\(\s*\d+\s*\)
TMB-002,MSSQL WAITFOR DELAY,Time-Based Blind Injection,CRITICAL,0.98,17,True,"(?i)\bWAITFOR\s+DELAY\s+['\""]\\d+:\\d+:\\d+['\""]"
TMB-003,BENCHMARK Function,Time-Based Blind Injection,CRITICAL,0.95,16,True,(?i)\bBENCHMARK\s*\(\s*\d+
TMB-004,PostgreSQL pg_sleep,Time-Based Blind Injection,CRITICAL,0.97,17,True,(?i)\bpg_sleep\s*\(\s*\d+
TMB-005,Heavy Query Delay,Time-Based Blind Injection,MEDIUM,0.72,6,False,(?i)\b(COUNT|SUM)\s*\(\s*\*\s*\)\s*FROM\s+\w+\s*WHERE
TMB-006,Conditional Sleep,Time-Based Blind Injection,CRITICAL,0.96,17,True,(?i)\b(IF|CASE)\s*\(.*SLEEP\s*\(
TMB-007,SLEEP with Subquery,Time-Based Blind Injection,CRITICAL,0.94,16,True,(?i)\(\s*SELECT\s+.*SLEEP\s*\(
TMB-008,Time Function Arithmetic,Time-Based Blind Injection,MEDIUM,0.68,5,False,(?i)\b(NOW|SYSDATE|CURDATE)\s*\(\s*\)\s*[+\-]\s*INTERVAL
ADV-001,Hexadecimal Encoding,Advanced & Evasion Techniques,HIGH,0.85,12,True,"\b0x[0-9a-fA-F]{8,}"
ADV-002,CHAR Function Encoding,Advanced & Evasion Techniques,HIGH,0.9,13,True,"(?i)\bCHAR\s*\(\s*\d+(\s*,\s*\d+){2,}\s*\)"
ADV-003,URL Encoding in Query,Advanced & Evasion Techniques,MEDIUM,0.78,8,True,"(%27|%20|%3D|%2D){3,}"
ADV-004,xp_cmdshell Execution,Advanced & Evasion Techniques,CRITICAL,0.99,20,True,"(?i)\bxp_cmdshell\s*[('\""]"
ADV-005,Stored Procedure Abuse,Advanced & Evasion Techniques,CRITICAL,0.97,18,True,(?i)\bsp_(executesql|addrolemember|addsrvrolemember|password)
ADV-006,LOAD_FILE Function,Advanced & Evasion Techniques,CRITICAL,0.98,19,True,"(?i)\bLOAD_FILE\s*\(['\""]"
ADV-007,INTO OUTFILE Write,Advanced & Evasion Techniques,CRITICAL,0.99,20,True,"(?i)\bINTO\s+(OUTFILE|DUMPFILE)\s+['\""]"
ADV-008,EXTRACTVALUE XML Injection,Advanced & Evasion Techniques,HIGH,0.92,14,True,(?i)\bEXTRACTVALUE\s*\(
ADV-009,UPDATEXML Injection,Advanced & Evasion Techniques,HIGH,0.91,13,True,(?i)\bUPDATEXML\s*\(
ADV-010,Multi-Encoding Attack,Advanced & Evasion Techniques,HIGH,0.88,12,True,(%[0-9a-fA-F]{2}.*0x[0-9a-fA-F]+)|(0x[0-9a-fA-F]+.*%[0-9a-fA-F]{2})
ADV-011,Concatenation Obfuscation,Advanced & Evasion Techniques,MEDIUM,0.75,7,True,(?i)\bCONCAT\s*\(.*CONCAT\s*\(
ADV-012,Alternative Comment Syntax,Advanced & Evasion Techniques,HIGH,0.93,14,True,(?i)/\*!\d{5}
ADV-013,White Space Obfuscation,Advanced & Evasion Techniques,LOW,0.65,4,False,"(?i)\b(SELECT|UNION|FROM|WHERE)\s{5,}(\w+|\*)"
ADV-014,Case Alternation Evasion,Advanced & Evasion Techniques,LOW,0.6,3,False,\b[Ss][Ee][Ll][Ee][Cc][Tt]\b|\b[Uu][Nn][Ii][Oo][Nn]\b
ADV-015,Scientific Notation Numbers,Advanced & Evasion Techniques,LOW,0.62,3,False,\b\d+[eE][+-]?\d+
